247400	247250	203067	200191	199069	195129	180487	148578	93428	48910	16506
247546	247242	241696	238298	233515	223904	200827	165275	110249	69812	32722
247406	247162	232976	229709	225546	216429	194736	160789	106292	67547	30985
246256	246007	243252	240082	237764	231237	211267	173387	111361	62548	24321
245151	244915	232724	229575	226410	218915	198615	163681	106368	62606	26480
245698	245481	238032	234760	230805	221982	199986	164781	107958	66906	29627
246548	246346	236313	233636	231963	226116	207425	170603	108986	60047	22113
249667	249502	245123	242236	239593	232311	211149	173170	112746	65536	26745
250041	249952	243047	240242	237972	231211	211237	173295	112119	63941	25275
243982	243850	239756	236960	234722	228045	207391	168481	106414	58835	22173
247892	247757	245676	242426	239740	232181	210237	171175	109002	62196	24570
